Nom piyin sans accent,Nom latin,Nom botanique,Partie employée,Saveur,Nature,Tropisme,Fonctions,Indications,Combinaisons,Mode d’emploi et dosage,Toxicité,Précautions et contre-indications,Recherche clinique,Formules de référence,Commentaires
Wu Zhu Yu,Fructus Evodiae,Evodia rutaecarpa (Juss.) Benth.,fruit,piquante et amère; aromatique,chaude et légèrement toxique,"Zu Yang Ming Estomac, Zu Tai Yin Rate, Zu Jue Yin Foie et Zu Shao Yin Reins","Chasse le froid / Calme la douleur / Disperse le Qi stagnant du Foie / Descend le Qi contraire / Arrête le vomissement / Réchauffe la Rate, l’Estomac et le Foie / Arrête la diarrhée / Chasse le froid-humidité / Elimine les parasites intestinaux","Froid attaquant la Rate et l’Estomac avec douleur •froide de l’épigastre et de l’abdomen. / Froid Jue Yin du Foie et de l’Estomac avec céphalée, douleur épigastrique, nausée, salivation, diminution du sens gustatif, langue pâle. / Chaleur du Foie envahissant l’Estomac avec dou leurs costales, régurgitation acide, langue rouge. / Froid vide de la Rate et des Reins et accumulation d’humidité avec diarrhée chronique. / Froid vide de l’abdomen inférieur chez la femme par froid dans le méridien du Foie. / Humidité dans le méridien du Foie avec prurit vulvaire.","Plus Sheng Jiang, Rhizoma Zingiberis Recens pour l’attaque du froid aux niveaux Jue Yin et Shao Yin avec douleur épigastrique, vomissement, céphalée. / Plus Gan Jiang, Rhizoma Zingiberis Exsiccata pour le froid de l’Estomac avec douleur abdominale, vomissement, régurgitation acide. / Plus Bu Gu Zhi, Fructus Psoraleae, Rou Dou Kou, Fructus Myristicae, Wu Wei Zi, Fructus Schisandrae pour la diarrhée matinale par froid vide de la Rate et du Rein. / Plus Huang Lian, Rhizoma Coptidis pour la chaleur du Foie envahissant l’Estomac avec vomissement, douleur épigastrique, régurgitation acide. / Plus Hu Jiao, Fructus Piperis Nigri pour le froid / causant la distension abdominale. / Plus du vinaigre pour application locale sur des aphtes et la distension abdominale. / Plus Xiao Hui Xiang, Fructus Foeniculi et Wu Yao, Radix Linderae pour le froid dans le méridien du Foie causant la douleur Shan (hernie). / Plus Mu Gua, Fructus Chaenomelis pour l’application externe dans un syndrome Jiao Qi (béri-béri).",3 à 9 g en décoction.,un surdosage peut causer des troubles visuels et des hallucinations.,vide de Yin et chaleur vide.,"antibactérien, antifongique, analgésique, stimulateur utérin, hypotenseur, antiparasitaire, stimulant respiratoire.",Si Shen Wan / Wu Zhu Yu Tang / Zuo Jin Wan,"""Les Herbes Spéciales"")."
Xiao Hui Xiang,Fructus Foeniculi,Foeniculum vulgare Mill.,semence,piquante; aromatique,tiède,"Zu Yang Ming Estomac, Zu Tai Yin Rate, Zu Jue Yin Foie, Zu Shao Yin Rein",Règle le Qi du Foie et de l’Estomac / Calme la douleur / Réchauffe le foyer moyen / Ouvre l’Estomac,"Stagnation de Qi et de froid dans le méridien du Foie ou le foyer inférieur avec douleur Shan (hernie). / Froid vide du foyer inférieur avec douleur abdominale. / Froid de l’Estomac avec douleur abdominale, indigestion, diminution de l’appétit, vomissements.","Plus Gan Jiang, Rhizoma Zingiberis Exsiccata et Mu Xiang, Radix Saussureae pour le froid de l’Estomac avec distension et douleur épigastrique et vomissement. / Plus Sheng Jiang, Rhizoma Zingiberis Recens et Hou Po, Cortex Magnoliae pour le froid de l’Esto- mac avec vomissements et perte de l’appétit. / Plus Li Zhi He, Semen Litchi pour le froid du méridien du Foie causant la douleur Shan (hernie), avec douleur de l’abdomen et des testicules et prolapsus.",3 à 9 g en décoction.,,vide de Yin; chaleur.,"antispasmodique intestinal, antibiotique, analgésique, expectorant, carminatif.",An Zhong San / Ding Xiang Shi Di Tang / Nuan Gan Jian / Xiang Ju San,"il faut tenir compte des formes préparées suivantes: / Chao Hui Xiang, Fructus Foeniculi tostus pour la douleur Shan. / Yan Shui Chao Hui Xiang, Fructus Foeniculi cum aqua salina tostus, pour faire descendre le Qi. / Jiu Hui Xiang, Fructus Foeniculi cum vino tostus pour faire monter le Qi."
Bing Pian,Borneol,Dryobalanops aromatica Gaertn. ou Borneolum syntheticum,les calculs biliaires de bovidé,très amère et douce,fraîche,Shou Shao Yin Coeur et Zu Jue Yin Foie,Ouvre les orifices / Transforme les glaires / Eteint le mouvement interne du vent du Foie / Calme les spasmes / Rafraîchit la chaleur / Elimine les toxiques du Feu,"Maladies de la chaleur ou glaires-chaleur obstruant le Péricarde avec délire et coma. / Agitation interne du vent du Foie avec spasmes et tremblements. / Chaleur toxique avec rougeur, douleur et enflure / de la gorge ou autres abcès toxiques.","Plus Huang Lian, Rhizoma Coptidis, Zhi Zi, Fruc- tus Gardeniae et Zhu Sha, Cinnabaris pour la chaleur pénétrant dans le Péricarde avec délire et agitation. / Plus She Xiang, Moschus et Xi Jiao, Cornu Rhino- ceri pour la chaleur importante et l’occlusion des orifices avec convulsions et coma. / Plus Quan Xie, Buthus Martensis et Dan Nan Xing, Pulvis Arisaematis cum Felle Bovis pour la chaleur causant les convulsions chez l’enfant. / Plus Zhen Zhu, Margarita pour la chaleur avec ulcération de la bouche ou gorge gonflée, rouge et douloureuse.","0,15 à 0,30 g en poudre ou pilule.",,grossesse; glaires froides; vide de Rate et Estomac.,"antispasmodique, hypotenseur, vasodilatateur périphérique, cholagogue.","étant donné la disponibilité limitée du produit, on le remplace souvent par de la bile de bovidé ou de porc.",
She Xiang,Moschus,Moschus moschiferus L.,le musc de cerf,piquante,tiède; aromatique,"les 12 méridiens et surtout Shou Shao Yin Coeur, Zu Tai Yin Rate et Zu Jue Yin Foie","Ouvre les orifices / Rétablit la conscience / Active la circulation du Sang / Dissipe les nodules / Calme la douleur / Accélère l’accouchement et facilite l’expulsion du placenta ou d’un foetus mort. / □ Chaleur pénétrant dans le Péricarde avec convul / sions, délire, stupeur, perte de conscience. / Attaque directe du vent Zhong Feng, avec perte de conscience (forme occluse Bi Zheng), / Obstruction des méridiens par une stagnation sanguine d’origine traumatique- / Chaleur toxique causant des abcès, furoncles, etc. (usage externe et interne).",,"Plus Xi Jiao, Cornu Rhinoceri et Niu Huang, Calculus Bovis pour la chaleur extrême causant la perte de conscience et le coma soudains. / Plus Su He Xiang, Styrax et Ding Xiang, Flos Caryophylli pour l’attaque soudaine du vent Zhong Feng causant la perte de conscience. / Plus Mu Xiang, Radix Saussureae et Tao Ren, Semen Persicae pour la douleur soudaine et sévère dans la poitrine et l’abdomen. / Plus Zhen Zhu, Margarita, Xiong Huang, Realgar et Niu Huang, Calculus Bovis pour les abcès causés par la chaleur toxique, principalement dans la gorge. / Plus Ru Xiang, Gummi Olibani et Mo Yao, Résina Myrrhae pour les lésions traumatiques causant une stagnation sanguine. / Plus Chi Shao, Radix Paeoniae Rubrae, Dan Shen, Radix Salviae Miltiorrhizae, San Leng, Rhizoma Sparganii et E Zhu, Rhizoma Zedoariae pour la stagnation sanguine causant la formation de masses abdominales immobiles, l’aménorrhée ou la dysménorrhée. / Plus Rou Gui, Cortex Cinnamomi pour faire descendre le placenta ou un foetus mort.","0,1 à 0,15 g en poudre ou pilules (ne pas faire cuire).",,grossesse; vide de Yin et chaleur vide.,"stimulant cardiaque, hyper- tenseur, stimulateur utérin, antimicrobien, diurétique, diaphorétique, carminatif, anti-inflammatoire, antitumoral, analgésique.",Ba Li San / She Xiang Tang / Su He Xiang Wan / Xiang Gui San / Xing Xiao Wan / Zhi Bao Dan,
Shi Chang Pu,Rhizoma Acori Graminei,Acorus gramineus Soland.,rhizome,piquante et amère ; aromatique,légèrement tiède,"Shou Shao Yin Coeur, Zu Jue Yin Foie, Zu Tai Yin Rate et Zu Yang Ming Estomac",Tranforme les glaires et l’humidité / Favorise l’appétit / Ouvre les méridiens et les orifices / Calme le Shen / Harmonise le centre / Elimine le trouble,"Stagnation d’humidité bloquant le Yang de la Rate avec plénitude et oppression de la poitrine et de l’abdomen, perte de l’appétit, fatigue. / Froid-humidité de la Rate avec vomissement, diarrhée, douleur abdominale. / Accumulation d’humidité trouble ou de glaires avec syndrome Bi Zheng plénitude et coma. / Accumulation de glaires troublant les ouvertures du Coeur avec perte de mémoire, palpitations, insomnie, bourdonnements d’oreille, dyspnée, asthme. / Accumulation de chaleur-humidité dans le foyer moyen avec dysenterie, impossibilité de manger ou vomissements après les repas. / Glaires troublant les orifices clairs avec surdité, organes des sens troublés, vertige, stupeur, attaques épileptiques.","Plus Zhu Li, Succus Bambusae et Yu Jin, Radix Curcumae Aromaticae pour les glaires ou la chaleur-humidité bloquant les orifices du Coeur, avec perte de conscience. / Plus Chen Pi, Pericarpium Citri Reticulatae et Hou Po, Cortex Magnoliae pour l’humidité bloquant le Yang de la Rate, avec douleur et distension de la poitrine et de l’abdomen. / Plus Huang Lian, Rhizoma Coptidis et Bai Lian Zi, Semen Nelumbinis pour la chaleur-humidité avec dysenterie et vomissements. / Plus Yuan Zhi, Radix Polygalae et Fu Ling, Sclerotium Poriae pour l’insomnie, l’affaiblissement de la mémoire, les bourdonnements d’oreille et la surdité. / Plus Yu Jin, Radix Curcumae Aromaticae pour la chaleur-humidité épidémique perturbant les orifices, avec désorientation mentale, perte de conscience, agitation, irritabilité, dyspnée, yeux rouges, perturbations auditives. / Plus Bai Fan, Alumen et Yu Jin, Tuber Curcumae Aromaticae pour l’obstruction de Qi et de glaires causant des problèmes émotionnels du type maniaque. / Plus Mu Xiang, Radix Saussureae, Wu Zhu Yu, Fructus Evodiae et Xiang Fu, Rhizoma Cyperi pour l’obstruction de Qi et d’humidité causant la distension épigastrique et abdominale",3 à 10 g en décoction.,"les symptômes d’un empoisonnement aigu sont des spasmes, suivis par des convulsions et la mort.",vide de Yin et chaleur vide.,"sédatif, augmente les sécrétions gastriques, antispasmodique intestinal, antibactérien, antimycotique, hypotenseur.",An Shen Ding Zhi Wan / Chang Pu Wan / Chang Pu Yu Jin Tang / Di Huang Yin Zi,
Su He Xiang,Styrax,Liquidambar orientalis Mill.,résine,piquante et douce,tiède; aromatique,Shou Shao Yin Coeur et Zu Tai Yin Rate,Ouvre les orifices / Rétablit la conscience / Elimine le trouble / Disperse la stagnation / Calme la douleur,"Attaque du vent Zhong Feng, avec perte de connaissance brutale. / Syndrome Bi Zheng, occlusion par froid ou par glaires avec douleur et oppression thoracique. / Attaques de chaleur toxique épidémique.","Plus She Xiang, Moschus, Ding Xiang, Flos Caryo- phylli et Bing Pian, Borneol pour le syndrome d’occlusion Bi Zheng par glaires ou stagnation de Qi, avec perte de connaissance soudaine, coma, douleur thoracique ou convulsions infantiles ou attaques épileptiformes. / Plus Ding Xiang, Flos Caryophylli et Hu Jiao, Fructus Piperis Nigri pour la distension et la douleur abdominale et thoracique par le froid.","0,3 à 1 g en poudre ou en pilule.",,fièvre et coma; transpiration spontanée et échappement; vide de Yin et chaleur vide; grossesse.,"expectorant, antimycotique, anti-eczémateux, antibactérien, anti-inflammatoire.","les herbes lourdes qui calment le Shen et les herbes qui nourrissent le Coeur et calment le Shen. Dans les deux cas l’objectif est d’apaiser l’esprit et de régler les émotions. Dans chaque groupe la méthode diffère : la première vise au traitement immédiat des symptômes, la seconde à la réparation du vide sousjacent.",
Ci Shi,Magnetitum,Magnetitum,minéral,piquante et salée,froide,"Zu Jue Yin Foie, Zu Shao Yin Reins, Shou Tai Yin Poumon et Shou Shao Yin Coeur",Calme le Foie / Apaise la peur / Favorise le Yin / Descend le Yang ascendant / Calme le Shen / Améliore la vision et l’audition / Aide les Reins saisir le Qi du Poumon / Calme la dyspnée,"Vide du Foie et du Rein et Yang du Foie ascendant avec irritabilité, vertige, céphalée, insomnie. / Vide de Yin et Yang ascendant causant l’agitation du Coeur et du Shen avec agitation, palpitations, peurs nocturnes, convulsions, surtout chez les enfants. / Vide du Foie et des Reins avec diminution de la vision et de l’ouïe, ou bourdonnements d’oreille. / Vide du Qi du Rein ne saisissant pas le Qi du Poumon avec dyspnée ou essoufflement.","Plus Niu Xi, Radix Achyranthis, Du Zhong, Cortex Eucommiae et Shi Jue Ming, Concha Haliotidis pour le vide de Yin et la montée du Yang avec vertige, lourdeur de la tête, bouffées de chaleur, palpitations. / Plus Zhu Sha, Cinnabaris et Shen Qu, Massa Fermentata pour le vide du Foie et des Reins avec affaiblissement de la vision. / Plus Long Gu, Os Draconis et Mu Li, Concha Ostreae pour le vide de Yin et la montée du Yang avec éblouissements et vertiges. / Plus Shu Di Huang, Radix Rehmanniae Praepara- ta, Shan Zhu Yu, Fructus Corni, Wu Wei Zi, Fructus Schisandrae pour l’affaiblissement du Qi des Reins qui ne saisit pas le Qi du Poumon, avec asthme ou toux chronique.",9 à 30 g en décoction longue (broyé et enveloppé dans un sachet en coton); 1 à 3 g en poudre ou pilule.,,vide de Rate et d’Estomac.,,Ci Zhu Wan / Ci Shi Wan,
Dai Zhe Shi,Haematitum,Haematitum,minéral,amère,froide,"Zu Jue Yin Foie, Zu Yang Ming Estomac, Shou Shao Yin Coeur, Shou Jue Yin Péricarde",Descend le Qi contraire / Calme le Foie / Descend le Yang / Arrête l’hémorragie dans le haut en faisant descendre le Sang,"Montée contraire de Qi aiguë, telle que les renvois, le vomissement, le hoquet, l’asthme. / Montée du Yang du Foie avec éblouissements, vertige, sensation de pression autour des yeux, bourdonnements d’oreille. / Chaleur du Sang causant l’hémorragie dans le haut ou froid vide causant l’hémorragie.","Plus Ban Xia, Rhizoma Pinelliae et Xuan Fu Hua, Flos Inulae pour descendre le Qi contraire se manifestant par des renvois, le hoquet, des vomissements ou l’asthme. / Plus Dang Shen, Radix Codonopsitis et Dang Gui, Radix Angelicae Sinensis pour le Qi contraire causant le blocage thoracique et l’impossibilité d’avaler. / Plus Long Gu, Os Draconis, Mu Li, Concha Ostreae et Niu Xi, Radix Achyranthis pour la montée du Yang du Foie avec éblouissements, vertige, céphalée, bourdonnements d’oreille. / Plus Bai Zhu, Rhizoma Atractylodis Albae et Bao Jiang, Rhizoma Zingiberis tosta pour le froid vide causant l’épistaxis. / Plus Sheng Di Huang, Radix Rehmanniae et Mu Dan Pi, Cortex Moutan Radicis pour la chaleur du Sang et la dysharmonie du Foie et de l’Estomac et le Qi contraire concomitant causant l’hématémèse.",10 à 30 g en décoction longue (concasser et envelopper dans un sachet en coton).,"un surdosage peut causer le ralentissement des mouvements, une sensation de faiblesse, des spasmes paroxystiques résultant en paralysie et arrêt respiratoire. Un usage prolongé peut causer une intoxication à l’arsenic.","la grossesse, syndromes froids.","activateur du péristaltisme intestinal, sédatif.",Han Jiang Tang / Shen Zhe Zhen Qi Tang / Zhen Ling Dan,
Hu Po,Succinum,Pinus succinifera Conv.,os fossiles,douce et âpre,neutre,"Shou Shao Yin Coeur, Zu Jue Yin Foie, Zu Shao Yin Reins et Shou Yang Ming Gros Intestin","Calme le Shen / Apaise le Foie / Contrôle le Yang ascendant / Retient la fuite des liquides / Arrête la leucorrhée, la transpiration, la spermatorrhée / Traite les maladies de la peau chroniques","Agitation du Coeur et du Shen avec agitation, insomnie, palpitations, anxiété, attaques épileptiformes, états émotionnels. / Vide du Yin du Foie et montée du Yang avec irritabilité, éblouissements, troubles de la vision, difficultés caractérielles. / Echappement de liquides par le Vide, tels que la spermatorrhée, la transpiration spontanée, la transpiration nocturne, la leucorrhée, l’hémorragie utérine. / Ulcères et éruptions chroniques guérissant mal (en usage externe).","Plus Yuan Zhi, Radix Polygalae et Gui Ban, Plastrum Testudinis pour l’agitation du Coeur et du Shen avec palpitations, pertes de mémoire, insomnie, rêves. / Plus Mu Li, Concha Ostreae, Niu Xi, Radix Achy- ranthis et Dai Zhe Shi, Haematitum pour le vide de Yin et le Yang ascendant causant l’insomnie, l’irritabilité, les éblouissements, les troubles de la vision. / Plus Mu Li, Concha Ostreae, Qian Shi, Semen Euryalis, Sha Yuan Ji Li, Semen Astragali pour la spermatorrhée par vide de Rein. / Plus Mu Li, Concha Ostreae, Wu Zei Gu, Os Sepiae et Shan Yao, Radix Dioscoreae pour la leucorrhée par vide de Rein. / Plus Gui Zhi, Ramulus Cinnamomi et Bai Shao, Radix Paeoniae Albae pour le vide de Yang avec spermatorrhée, leucorrhée, diarrhée, saignement utérin ou froid vide avec douleurs des lombes et des extrémités, vertige, fatigue, palpitations sous le nombril. / Plus Shan Zhu Yu, Fructus Corni et Mu Li, Concha Ostreae pour le vide de Yin causant la transpiration nocturne. / Plus Fu Zi, Radix Aconiti Carmichaeli Praeparata et Ren Shen, Radix Ginseng pour l’effondrement du Yang et du Qi avec transpiration profuse. / Plus Huang Qi, Radix Astragali et Bai Shao, Radix Paeoniae Albae pour le vide de la surface avec transpiration spontanée. / Plus Mu Li, Concha Ostreae et Wu Wei Zi, Fructus Schizandrae pour la transpiration spontanée. / Plus Ming Fan, Alumen en application externe pour les ulcères et dermatoses chroniques guérissant mal.",15 à 30 g en décoction longue.,,chaleur-humidité; plénitude externe.,"sédatif, diurétique.",Chai Hu Jia Long Gu Mu Li Tang / Long Gu San,"on utilise la forme calcinée, Duan Mu Li à des fins astringentes. / Long Chi, Dens Draconis est une herbe similaire. Elle est fraîche et astringente et on l’utilise particulièrement pour les palpitations, l’anxiété, les rêves, en doses de 9 à 15 g en décoction longue."
Mu Li,Concha Ostreae,Ostrea gigas Thunb.,coquille,salée et âpre,fraîche,Zu Jue Yin Foie et Zu Shao Yin Reins,"Calme le Foie / Descend le Yang / Favorise le Yin / Ramollit le dur / Disperse les nodules / Renforce le Rein / Arrête la transpiration, la spermatorrhée, la leucorrhée / Elimine l’acidité","Vide de Yin du Foie et des Reins et montée du Yang, avec éblouissements, vertiges, bourdonnements d’oreille, palpitations, irritabilité, insomnie. / Vide de Yin et épuisement des liquides avec dystrophie des ligaments et des muscles, causant des spasmes ou des convulsions. / Glaires-feu causant des nodules. / Conditions de vide avec transpiration spontanée ou transpiration nocturne. / Vide de Rein avec spermatorrhée. / Vide des méridiens Chong et Ren avec leucorrhée ou saignement utérin.","Plus Huang Qi, Radix Astragali et Fu Xiao Mai, Semen Tritici Levis pour la transpiration spontanée par vide de Qi. / Plus Long Gu, Os Draconis pour vide de Yang et Yang flottant avec céphalée, bourdonnements d’oreille, éblouissements. / Plus Qian Shi, Semen Euryales et Lian Xu, Stamen Nelumbinis pour le vide du Rein avec spermatorrhée. / Plus E Jiao, Colla Corii Asini et Chi Shi Zhi, Halloysitum pour la leucorrhée. / Plus Xuan Shen, Radix Scrophulariae, Xia Ku Cao, Spica Prunellae et Zhe Bei Mu, Bulbus Fritillariae Thunbergii pour le feu-glaires produisant des nodules de la gorge. / Plus Chai Hu, Radix Bupleuri, Dan Shen, Radix Salviae Miltiorrhizae et Chi Shao, Radix Paeoniae Rubrae pour la douleur et la masse hypochondria- que. / Plus Shi Jue Ming, Concha Haliotidis pour la douleur épigastrique et les régurgitations acides.",15 à 30 g en décoction longue (concasser en envelopper dans un sachet en coton).,,fièvre importante sans transpiration.,antidiaphorétique.,Chai Hu Jia Long Gu Mu Li Tang / Jin Suo Gu Jing Wan / Mu Li San / Xiao Luo Wan,"ne pas combiner avec Ma / Huang, Herba Ephedrae, Wu Zhu Yu, Fructus Evo- diae, Xi Xin, Herba Asari cum Radice. / Pour exploiter son effet astringent ou pour absorber l'acidité de l’Estomac, il faut calciner et réduire cette herbe en poudre."
Zhen Zhu,Margarita,Pteria margaritifera (L.),perle,douce et salée,froide,Shou Shao Yin Coeur et Zu Jue Yin Foie,Calme le Coeur / Elimine la peur / Calme les spasmes / Rafraîchit le Foie / Eclaircit la vue / Elimine les toxiques / Favorise la guérison des lésions de la peau / Astringent,"Perturbation du Shen avec palpitations, convulsions infantiles, attaques épileptiformes, frayeurs et colères faciles. / Chaleur du Foie et problèmes de la vision. / Lésions de la peau guérissant mal.","Plus Long Gu, Os Draconis, Mu Li, Concha Ostreae et Zhu Sha, Cinnabaris pour la perturbation du Shen avec anxiété, convulsions infantiles, attaques épileptiformes. / Plus Niu Huang, Calculus Bovis et Bing Pian, Bor- neol pour les yeux rouges ou la douleur sévère avec gonflement et ulcération de la gorge. / En usage externe sur des lésions de la peau chroniques et guérissant mal. / Plus Chi Shi Zhi, Halloysitum, Long Gu, Os Draco- nis et Xue Jie, Sanguis Draconis pour les abcès ouverts qui tardent à guérir.","0,3 à 1 g en poudre et pilules.",,,,Jia Yi Gui Zhang Tang / Zhen Zhu Mu Wan,
Zhu Sha,Cinnabaris,Cinnabaris,minéral,douce,fraîche et toxique,Shou Shao Yin Coeur,Calme le Coeur / Apaise le Shen / Elimine les toxiques / Prévient la putréfaction / Chasse les glaires / Clarifie la chaleur / Calme les convulsions,"Plénitude chaleur, glaires-chaleur, vide du Sang avec agitation, palpitations, anxiété, insomnie, convulsions. / Abcès, aphtes, douleur de la gorge, etc. par chaleur toxique. / Vent-glaires et chaleur du Poumon causant des vertiges.","Plus Huang Lian, Rhizoma Coptidis, Dang Gui, Radix Angelicae Sinensis, Sheng Di Huang, Radix Rehmanniae et Gan Cao, Radix Glycyrrhizae pour le feu du Coeur et le vide du Sang avec agitation, palpitations, insomnie. / Plus un coeur de porc pour les palpitations par le vide du Sang du Coeur. / Plus Tian Zhu Huang, Concretio Silicea Bambusae et Tian Nan Xing, Rhizoma Arisaematis pour les convulsions aiguës chez l’enfant. / Plus Sheng Di Huang, Radix Rehmanniae, Dang Gui, Radix Angelicae Sinensis et Suan Zao Ren, Semen Zizyphi pour la plénitude du feu du Coeur avec agitation, irritabilité, insomnie, palpitations. / Plus Hai Ge Ke, Concha Gyclinae pour le vent- glaires causant des vertiges ou la chaleur du Poumon causant l’hémoptysie. / Plus Xi Jiao, Cornu Rhinoceri et Niu Huang, Calculus Bovis pour la fièvre importante avec formation de vent interne causant les convulsions et la perte de conscience. / Plus Xiong Huang, Realgar et Bing Pian, Borneol en application externe pour le gonflement douloureux et la rougeur de la gorge ou les ulcérations de la bouche.","0,3 à 1 g en poudre.","Zhu Sha, Cinnabaris est considéré comme une herbe très toxique. On respectera donc soigneusement les dosages indiqués et le mode d’utilisation.","ne pas utiliser pendant longtemps; ne pas chauffer, ce qui pourrait causer la libération de mercure et le rendrait toxique.","antispasmodique, sédatif, antibactérien, antiparasitaire, hypnotique.",Ci Zhu Wan / Zhu Sha An Shen Wan,
Zi Shi Ying,Fluoritum,Fluoritum,minéral,douce,tiède,Shou Shao Yin Coeur et Zu Jue Yin Foie,Calme le Coeur / Arrête la peur et la panique / Réchauffe les Poumons / Fait descendre le Qi / Réchauffe la matrice,"Vide du Sang du Coeur ou montée du Yang du Foie avec états émotionnels, insomnie, palpitations par l’anxiété, convùlsions. / Froid vide des Poumons avec toux et dyspnée, accompagnés éventuellement de glaires pro- / fuses. / Froid vide de la matrice avec ménorragie, saignement utérin, infertilité.","Plus Fu Shen, Sclerotium Poriae Pararadicis, Suan Zao Ren, Semen Zizyphi, Huang Qi, Radix Astragali et Dang Gui, Radix Angelicae Sinensis pour le vide du Sang du Coeur ou le Yang du Foie ascendant causant les palpitations par anxiété, l’insomnie, les états émotionnels. / Plus Shu Di Huang, Radix Rehmanniae Praeparata, E Jiao, Colla Corii Asini et Hu Tao Ren, Semen Juglandis pour le froid vide des Poumons avec toux et dyspnée.","6 à 15 g en décoction longue (concasser et envelopper dans un sachet en coton). / Bai Zi Ren, Semen Biotae / He Huan Pi, Cortex Albizziae / Suan Zao Ren, Semen Zizyphi / Ye Jiao Teng, Caulis Polygoni Multiflori / Yuan Zhi, Radix Polygalae",,,,,
Bai Zi Ren,Semen Biotae,Biota orientais (L.) Endl.,graines,piquante et douce,neutre,"Shou Shao Yin Coeur, Zu Jue Yin Foie, Zu Tai Yin Rate , Zu Shao Yin Reins et Shou Yang Ming Gros Intestin",Nourrit le Coeur / Calme le Shen / Humidifie les Intestins / Favorise l’évacuation des selles / Arrête la transpiration nocturne,"Vide de Sang du Coeur avec insomnie, pertes de mémoire, irritabilité, palpitations par l’anxiété. / Vide de Sang ou de Yin causant la constipation, principalement chez les vieillards et les femmes après l’accouchement. / □ Transpiration nocturne par vide de Yin.","Plus Yuan Zhi, Radix Polygalae et Suan Zao Ren, Semen Zizyphi pour le vide de Sang du Coeur avec palpitations et insomnie. / Plus Huo Ma Ren, Semen Cannabis et Hu Tao Ren, Semen Juglandis ou plus Ku Xing Ren, Semen Armeniacae Amarae, Yu Li Ren, Semen Pruni et Tao Ren, Semen Persicae pour le vide de Sang causant la constipation. / Plus Wu Wei Zi, Fructus Schisandrae et Mu Li, Concha Ostreae pour le vide de Yin avec transpiration nocturne.",9 à 18 g en décoction; en poudre pour la constipation.,,syndromes glaires; selles molles.,tranquillisant.,Wu Ren Wan / Yang XinTang,
He Huan Pi,Cortex Albizziae,Albizzia jurisbrussin Durazz.,écorce,douce,neutre,Shou Shao Yin Coeur et Zu Jue Yin Foie,Calme le Shen / Active la circulation du Sang / Calme la douleur / Réduit les enflures / Dissipe les abcès internes et externes,"Dépression ou colère causant l’insomnie, les pertes de mémoire, l’irritabilité et l’agitation. / Douleurs et gonflement par atteinte traumatique externe. / Abcès pulmonaire avec expectoration purulente. / Abcès et furoncles.","Plus Dan Shen, Radix Salviae Miltiorrhizae et Ye Jiao Teng, Caulis Polygoni Multiflori pour la dépression, l’insomnie et l’irritabilité. / Plus Dang Gui, Radix Angelicae Sinensis et Chuan Xiong, Radix Ligustici Wallichii pour la douleur et le gonflement par atteinte traumatique externe. / Plus Dong Gua Ren, Semen Benincasae, Yu Xing Cao, Herba Houttuyniae et Tao Ren, Semen Per- sicae pour l’abcès pulmonaire. / Plus Pu Gong Ying, Herba Taraxaci, Zao Jiao, Fructus Gleditsiae et Chuan Shan Jia, Squama Manitis pour les abcès et furoncles.","activateur utérin, sédatif, a- nalgésique, diurétique.",,,,He Huan Pi Yin,
Suan Zao Ren,Semen Zizyphi,Zizyphus jujuba var spinosa,graines,acide et douce,neutre,"Shou Shao Yin Coeur, Zu Tai Yin Rate, Zu Jue Yin Foie et Zu Shao Yang Vésicule Biliaire",Nourrit le Sang / Nourrit le Coeur / Favorise le Foie / Calme le Shen / Arrête la transpiration vide,"Vide de Sang du Coeur et du Foie avec irritabilité, insomnie, palpitations, pertes de mémoire. / Vide de Sang du Foie et montée du feu. / Vide de Yin et feu vide. / Transpiration spontanée ou transpiration nocturne par vide.","Plus Shu Di Huang, Radix Rehmanniae Praepara- ta, Dang Gui, Radix Angelicae Sinensis et Bai Zi Ren, Semen Biotae pour le vide de Sang et/ou de Yin du Coeur avec insomnie, irritabilité, palpitations, anxiété. / Plus Zhi Mu, Radix Anemarrhenae et Fu Ling, Sclerotium Poriae pour le vide de Yin du Foie et la chaleur vide causant l’insomnie et l’agitation. / Plus Dang Shen, Radix Codonopsitis, Fu Ling, Sclerotium Poriae et Long Yan Rou, Arillus Longa- nae pour le vide du Qi de la Rate et le vide du Sang du Coeur avec insomnie, palpitations, agitation. / Plus Wu Wei Zi, Fructus Schisandrae, Huang Qi, Radix Astragali et Mu Li, Concha Ostreae pour la transpiration spontanée ou la transpiration nocturne par vide.",9 à 18 g en décoction.,,diarrhée importante; plénitude chaleur.,"sédatif, hypnotique, analgésique, anticonvulsif, antichoque, activateur utérin.",Bu Xin Dan / Gui Pi Tang / Suan Zao Ren Tang,
